Venue_Name,Address,Format,Price
Collection O 30096 Tin factory,"Near  1st Cross Road, Jyothi Puram, Bangalore",First Aid  Daily Housekeeping  Refrigerator  (+ 13 more),1006
OYO 17136 Hotel Chinmayee Inn,"Electronic City, Bangalore",Parking Facility  AC  TV  (+ 4 more),766
OYO 22490 Hotel Paradise Inn,"Marathahalli, Bangalore",Kitchen  Complimentary Veg Breakfast  Attached Bathroom  (+ 14 more),994
OYO 10346 The Himalayan Inn,"Near Indiranagar Metro Station, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 8 more),1711
OYO 27065 Eden Au Lac,"Near Indiranagar Police Station, Indiranagar, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 17 more),1560
OYO 15269 Surya Inn Saver,"Near Decathlon, Bangalore",Parking Facility  AC  TV  (+ 6 more),730
OYO 40331 Frontier Management Centre,"Near Ayurvaid Hospital, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 13 more),811
OYO 36277 Sri Durga Comforts,"Airforce School, Murgesh Pallya, Bangalore",Daily Housekeeping  Card Payment  Power backup  (+ 8 more),917
OYO 2323 GS Suites,"Opposite Forum Mall,Thavarekere Main Road, Bangalore",Elevator  Complimentary Breakfast  Wheelchair Accessible  (+ 7 more),883
OYO 3175 Pluspoint Suites,"Near Hyper Mall, Harlur Road, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 11 more),1240
OYO 10395 Dvaraka Inn,"Near Manyata Tech Park, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 11 more),811
OYO 10884 Pavana Residency,"Near Bangalore City Railway Station, Bangalore",Complimentary Breakfast  AC  TV  (+ 5 more),998
OYO 649 Hotel Ajantha Trinity Inn,"Swami Vivekananda Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),1331
OYO 14397 Varcity Phi Pavilion,"Near Market Square Mall, Madiwala, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 13 more),811
Collection O 30011 ITPL Hope Farm,"Hill Side Layout, Inner Valley, Bangalore",In-house Restaurant  Kitchen  Card Payment  (+ 3 more),1450
OYO 11915 Varcity Park,"Maruti Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),855
Capital O 36472 Hotel Raj Vista Suites,"Besides NRR Hospital, Jalahalli West, Banglore",Parking Facility  First Aid  Attached Bathroom  (+ 16 more),1508
OYO 9247 Hotel Samrudhi Park,"Behind Genpact, Electronic City, Bangalore",Parking Facility  Kitchen  Bar  (+ 9 more),781
OYO 10475 PMR Hotel,"Whitefield, Bangalore",Parking Facility  Elevator  AC  (+ 6 more),927
Collection O 30018 Ramee Strand Electronic City,"Near Singasandra, Bangalore",Kitchen  CCTV Cameras  Conference Room  (+ 7 more),2411
Capital O 1309 Anandsagar Inn,"Netkalappa Circle Basavanagudi, Bangalore",Daily Housekeeping  Elevator  AC  (+ 16 more),1294
OYO 9151 Hotel Sri Sai Comforts,"Jayanagar 7th Block, Bangalore",Elevator  AC  Banquet Hall  (+ 3 more),928
OYO 41101 Kv Comforts,"Near JCB Industries, Bangalore",First Aid  24/7 Checkin  Power backup  (+ 6 more),811
Capital O 5379 The Roy Grand Inns,"AVS Layout, Koramangala, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 13 more),1208
OYO 29620 New Champion Residency,"Near Old Madras Road, KR Puram, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 12 more),811
OYO 13595 VT Residency,"Sudhama Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 8 more),859
OYO 9653 Ample Premium Suites,"Near Yelahanka Airforce Base, Bangalore",Kitchen  First Aid  Buzzer/Door Bell  (+ 11 more),766
OYO 27798 Hotel Cosmopolitan,"Near Bengaluru Airport,Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 8 more),1208
Capital O 11959 Seven Olives,"Bommanahalli, Bengaluru",Parking Facility  Kitchen  CCTV Cameras  (+ 11 more),1483
OYO Flagship 475 Marathahalli Innovative Multiplex,"Near SBR Palace, Bangalore",Elevator  Wheelchair Accessible  AC  (+ 6 more),1501
OYO 35680 R G Comforts,"Near Vijaya Nagar, Bangalore",First Aid  Buzzer/Door Bell  Complimentary Veg Breakfast  (+ 13 more),811
OYO 10450 Breeze inn,"BTM Layout, Bengaluru",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 9 more),1006
OYO 18680 Olivia Comforts,"Near Eat Street, Kormangala, Bangalore",Buzzer/Door Bell  Attached Bathroom  CCTV Cameras  (+ 8 more),919
OYO 13024 Ample Mint,"Opposite Corporation Bank, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  AC  (+ 4 more),1006
